14916641;160;539;642;337;469;211
14916642;448;540;515;285;767;667
14916643;693;340;650;161;483;308
14916644;601;525;184;588;730;508
14916645;245;456;470;411;622;455
14916646;199;423;819;764;499;226
14916647;250;679;470;248;171;346
14916648;601;190;324;160;455;721
14916649;635;722;216;210;388;257
14916650;768;481;311;787;765;595
14916651;750;801;340;221;283;536
14916652;758;421;216;727;589;291
14916653;174;293;620;361;423;403
14916654;428;315;483;724;840;313
14916655;298;822;179;169;776;724
14916656;319;192;485;698;494;796
14916657;670;725;269;843;623;172
14916658;675;422;623;278;295;560
14916659;540;633;795;413;304;241
14916660;816;431;521;689;348;588
14916661;615;159;172;336;543;246
14916662;282;836;849;317;632;327
14916663;463;470;654;820;769;804
14916664;572;180;365;785;711;817
14916665;224;386;629;436;360;428
14916666;843;251;187;775;703;209
14916667;680;181;223;422;373;753
14916668;252;218;225;213;342;693
14916669;814;629;735;157;645;164
14916670;786;355;184;695;234;646
14916671;657;416;327;329;802;673
14916672;405;535;445;343;718;193
14916673;836;325;373;338;227;596
14916674;580;378;373;431;809;301
14916675;732;546;821;513;809;620
14916676;368;523;815;569;721;322
14916677;383;405;173;649;352;375
14916678;834;253;492;781;746;525
14916679;226;349;431;638;578;807
14916680;330;174;642;275;807;277
14916681;738;401;499;674;770;567
14916682;464;158;734;347;508;467
14916683;618;822;221;435;467;153
14916684;200;191;207;274;421;301
14916685;708;340;537;311;355;430
14916686;493;327;258;630;610;320
14916687;290;198;461;762;579;659
14916688;457;313;592;236;691;298
14916689;211;760;798;158;552;676
14916690;391;419;161;768;610;429
14916691;819;233;518;501;475;586
14916692;685;488;811;849;368;685
14916693;554;321;205;260;152;433
14916694;313;662;251;375;485;432
14916695;515;526;247;677;680;282
14916696;207;518;714;766;711;237
14916697;376;602;353;290;497;345
14916698;600;440;711;764;676;654
14916699;544;537;411;412;531;358
14916700;572;593;710;570;217;750
14916701;361;621;553;453;216;290
14916702;695;362;161;530;418;342
14916703;448;818;629;702;254;577
14916704;469;326;611;439;268;654
14916705;411;453;484;231;319;522
14916706;417;743;481;418;555;379
14916707;469;329;379;469;582;310
14916708;587;745;196;664;252;171
14916709;431;364;192;609;164;800
14916710;325;299;767;492;649;352
14916711;757;563;454;791;462;189
14916712;555;194;786;414;167;577
14916713;539;365;609;474;770;750
14916714;157;247;678;553;759;357
14916715;513;420;777;608;623;394
14916716;570;571;736;150;696;454
14916717;413;801;369;201;705;847
14916718;350;566;580;509;575;749
14916719;532;218;219;487;508;655
14916720;755;229;565;399;613;515
14916721;519;697;491;781;200;468
14916722;832;420;690;412;158;584
14916723;167;594;276;480;405;204
14916724;182;571;612;506;243;346
14916725;287;404;647;766;460;677
14916726;545;739;411;359;698;753
14916727;761;280;742;710;234;196
14916728;254;272;781;528;491;488
14916729;226;403;738;483;700;191
14916730;185;672;460;582;632;551
14916731;170;257;208;501;503;357
14916732;812;271;495;380;497;635
14916733;463;414;328;172;749;361
14916734;553;657;371;310;750;473
14916735;626;757;495;774;624;530
14916736;425;280;767;789;394;543
14916737;415;354;672;227;810;234
14916738;626;635;815;450;661;200
14916739;645;837;254;612;320;748
14916740;775;542;444;652;248;691
14916741;621;640;172;793;355;447
14916742;556;243;452;672;812;562
14916743;582;244;712;179;576;304
14916744;740;589;304;403;239;575
14916745;634;663;404;833;348;663
14916746;806;455;281;519;234;843
14916747;503;620;166;369;464;277
14916748;448;659;183;315;268;430
14916749;248;763;226;710;793;813
14916750;643;764;587;617;537;538
14916751;625;815;226;527;379;737
14916752;574;725;813;492;723;583
14916753;816;194;501;483;385;722
14916754;357;180;446;737;522;383
14916755;650;821;527;555;405;827
14916756;452;790;298;500;519;830
14916757;670;376;364;616;418;186
14916758;816;411;761;399;267;668
14916759;829;411;704;750;370;184
14916760;405;272;606;652;543;186
14916761;162;329;295;368;721;314
14916762;786;580;632;405;218;834
14916763;686;595;625;809;629;824
14916764;745;373;813;228;393;386
14916765;167;421;223;486;829;334
14916766;530;195;580;215;822;164
14916767;713;525;622;690;252;784
14916768;389;709;414;184;653;187
14916769;434;617;348;255;211;258
14916770;759;699;803;580;799;312
14916771;447;530;389;674;697;792
14916772;598;646;326;333;212;398
14916773;334;821;740;321;500;151
14916774;592;491;739;413;723;592
14916775;521;257;266;790;557;580
14916776;766;847;560;310;475;781
14916777;503;357;591;327;712;313
14916778;327;643;834;347;337;552
14916779;674;496;195;593;824;369
14916780;231;534;713;313;768;761
14916781;189;563;763;702;396;776
14916782;201;502;233;226;580;266
14916783;319;238;836;250;820;512
14916784;520;504;231;761;806;755
14916785;480;161;467;648;417;622
14916786;674;571;311;755;467;165
14916787;283;169;438;816;371;667
14916788;517;268;664;688;359;445
14916789;612;186;610;253;398;552
14916790;420;707;753;385;704;675
14916791;499;179;519;477;516;601
14916792;465;500;381;165;547;332
14916793;421;504;528;544;161;779
14916794;243;515;342;258;627;321
14916795;837;551;198;604;834;589
14916796;690;201;690;717;629;725
14916797;378;769;818;752;419;711
14916798;780;317;663;577;511;790
14916799;255;527;325;440;695;436
14916800;802;374;339;236;183;331
14916801;731;672;608;394;686;708
14916802;784;197;422;443;793;544
14916803;219;425;180;671;265;413
14916804;274;674;294;755;632;629
14916805;501;251;840;391;328;292
14916806;216;462;568;360;154;160
14916807;714;224;825;697;588;162
14916808;399;476;838;657;480;718
14916809;307;329;630;181;555;520
14916810;685;517;809;685;352;193
14916811;396;374;157;208;717;691
14916812;729;257;704;673;216;559
14916813;365;687;384;593;669;332
14916814;235;647;453;293;370;270
14916815;748;518;155;273;816;704
14916816;259;483;363;208;625;734
14916817;267;694;841;184;547;202
14916818;844;781;623;594;571;818
14916819;298;674;162;373;483;757
14916820;519;513;683;377;611;319
14916821;532;633;821;405;753;152
14916822;464;838;652;316;742;550
14916823;404;660;154;819;516;515
14916824;825;519;279;347;732;505
14916825;690;465;517;627;434;533
14916826;577;545;787;580;369;515
14916827;218;239;639;443;493;559
14916828;683;613;529;199;681;291
14916829;446;470;613;609;335;182
14916830;206;413;384;308;239;775
14916831;175;221;300;435;423;436
14916832;511;418;610;833;378;601
14916833;759;541;732;439;615;275
14916834;518;211;631;395;184;479
14916835;681;381;272;467;394;567
14916836;302;393;213;450;616;731
14916837;634;487;532;825;549;174
14916838;592;693;432;171;258;408
14916839;582;312;748;487;438;313
14916840;353;365;403;682;273;327
14916841;225;342;529;501;252;329
14916842;322;507;495;363;284;228
14916843;720;597;722;394;714;541
14916844;241;475;486;237;812;489
14916845;751;205;181;648;252;194
14916846;841;647;803;221;389;296
14916847;396;604;638;662;294;221
14916848;266;196;237;784;663;640
14916849;383;599;564;476;348;484
14916850;210;415;297;667;736;451
14916851;376;193;570;413;334;444
14916852;486;517;448;823;440;293
14916853;171;701;847;512;849;445
14916854;636;564;741;477;755;523
14916855;586;151;693;624;762;415
14916856;589;746;491;662;341;305
14916857;373;335;499;517;310;208
14916858;194;455;381;695;771;801
14916859;637;761;485;425;362;394
14916860;648;477;450;811;309;505
14916861;405;353;757;813;541;651
14916862;361;425;755;573;716;359
14916863;718;713;259;400;162;318
14916864;789;433;748;788;377;343
14916865;780;223;549;737;326;604
14916866;496;837;706;204;459;381
14916867;342;846;759;647;470;659
14916868;198;819;402;599;217;508
14916869;834;435;293;590;193;177
14916870;805;735;538;756;806;619
14916871;396;273;211;200;725;745
14916872;660;153;770;340;422;530
14916873;153;445;581;281;463;558
14916874;240;320;463;335;684;799
14916875;750;658;484;343;660;773
14916876;276;547;407;500;709;230
14916877;338;172;395;278;169;657
14916878;696;235;820;703;172;246
14916879;697;558;258;371;602;488
14916880;734;165;830;789;687;310
14916881;490;238;655;694;375;367
14916882;196;496;806;401;841;650
14916883;784;628;281;481;671;456
14916884;556;389;336;199;256;794
14916885;383;186;258;339;208;203
14916886;513;365;452;602;310;808
14916887;543;427;704;557;399;768
14916888;150;175;621;555;171;580
